province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Camarines Sur,4,340.4105998926468,4253.375897681607,0.08003303918616618,irrigated,483608.0,123556.0,38704.61801474346,9888.562189685948
Camarines Sur,4,340.4105998926468,4253.375897681607,0.08003303918616618,rainfed,166798.0,49468.0,13349.350870174147,3959.0743824612687
Camarines Sur,8,3912.96529778896,4253.375897681607,0.9199669608138338,irrigated,483608.0,123556.0,444903.3819852565,113667.43781031405
Camarines Sur,8,3912.96529778896,4253.375897681607,0.9199669608138338,rainfed,166798.0,49468.0,153448.64912982585,45508.92561753873
Camiguin,3,353.2911068518131,353.2911068518131,1.0,irrigated,2133.16,563.0,2133.16,563.0
Camiguin,3,353.2911068518131,353.2911068518131,1.0,rainfed,0.0,0.0,0.0,0.0
Capiz,2,147.99467818593334,2083.4155606996537,0.07103464185331979,irrigated,115347.08,30636.0,8193.638516626226,2176.217287818305
Capiz,2,147.99467818593334,2083.4155606996537,0.07103464185331979,rainfed,247925.61,78474.0,17611.306912615837,5574.372484797417
Capiz,3,963.3031872165967,2083.4155606996537,0.46236728062696225,irrigated,115347.08,30636.0,53332.71570786067,14165.084009287615
Capiz,3,963.3031872165967,2083.4155606996537,0.46236728062696225,rainfed,247925.61,78474.0,114632.69009348079,36283.80997992024
Capiz,4,5.967155131709788,2083.4155606996537,0.0028641214188233743,irrigated,115347.08,30636.0,330.36804242673327,87.74522378707289
Capiz,4,5.967155131709788,2083.4155606996537,0.0028641214188233743,rainfed,247925.61,78474.0,710.0890498758505,224.75906422074547
Capiz,8,966.1505401654136,2083.4155606996537,0.46373395610089446,irrigated,115347.08,30636.0,53490.35773308636,14206.953479107002
Capiz,8,966.1505401654136,2083.4155606996537,0.46373395610089446,rainfed,247925.61,78474.0,114971.52394402747,36391.058471061595
Catanduanes,4,128.40454760449563,1244.5044887495274,0.10317724746297698,irrigated,13969.55,3894.46,1441.3397172964299,401.8196631546653
Catanduanes,4,128.40454760449563,1244.5044887495274,0.10317724746297698,rainfed,13049.54,5020.53,1346.4156178580167,518.0044662052998
Catanduanes,8,1116.0999411450318,1244.5044887495274,0.8968227525370231,irrigated,13969.55,3894.46,12528.21028270357,3492.6403368453352
Catanduanes,8,1116.0999411450318,1244.5044887495274,0.8968227525370231,rainfed,13049.54,5020.53,11703.124382141987,4502.525533794701
Cavite,3,210.7068001629784,996.9440647449735,0.2113526802698594,irrigated,23415.6,6730.13,4948.94982012692,1422.431014064589
Cavite,3,210.7068001629784,996.9440647449735,0.2113526802698594,rainfed,1211.0,650.0,255.94809580679973,137.37924217540862
Cavite,5,786.2372645819951,996.9440647449735,0.7886473197301406,irrigated,23415.6,6730.13,18466.65017987308,5307.698985935411
Cavite,5,786.2372645819951,996.9440647449735,0.7886473197301406,rainfed,1211.0,650.0,955.0519041932002,512.6207578245914
Cebu,1,235.69690712283693,5247.668442313414,0.044914595827424436,irrigated,10541.0,3327.0,473.44475461688097,149.4308603178411
Cebu,1,235.69690712283693,5247.668442313414,0.044914595827424436,rainfed,665.0,304.0,29.86820622523725,13.654037131537029
Cebu,3,2363.3746930180305,5247.668442313414,0.4503666188133155,irrigated,10541.0,3327.0,4747.314528911159,1498.3697407919008
Cebu,3,2363.3746930180305,5247.668442313414,0.4503666188133155,rainfed,665.0,304.0,299.49380151085484,136.9114521192479
Cebu,4,275.23870181772645,5247.668442313414,0.052449712637787874,irrigated,10541.0,3327.0,552.872420914922,174.50019394592024
Cebu,4,275.23870181772645,5247.668442313414,0.052449712637787874,rainfed,665.0,304.0,34.87905890412894,15.944712641887513
Cebu,5,2373.3581403548196,5247.668442313414,0.4522690727214721,irrigated,10541.0,3327.0,4767.3682955570375,1504.6992049443377
Cebu,5,2373.3581403548196,5247.668442313414,0.4522690727214721,rainfed,665.0,304.0,300.75893335977895,137.48979810732752
Compostela Valley,1,392.41017659129056,3709.182104550544,0.10579426017122996,irrigated,104694.19,23650.0,11076.044375276182,2502.0342530495886
